iter	Logloss
294	0.3642820968
295	0.3642349223
296	0.3641490379
297	0.3641026188
298	0.3639981776
299	0.3639265814
300	0.3639000245
301	0.363779679
302	0.3636435239
303	0.3635169539
304	0.3634093132
305	0.3633669458
306	0.3632709431
307	0.3631598076
308	0.3630383983
309	0.3628953846
310	0.3628015261
311	0.3627569553
312	0.3626740308
313	0.3625737909
314	0.3624801067
315	0.3624047633
316	0.3623794825
317	0.3622322162
318	0.3621162616
319	0.3619487066
320	0.3618920739
321	0.3617977159
322	0.3616893238
323	0.3615603509
324	0.3614541609
325	0.361401978
326	0.3612618292
327	0.3611871438
328	0.3611439698
329	0.3610854588
330	0.3610484217
331	0.3609469314
332	0.3608401706
333	0.3607119834
334	0.3606902733
335	0.3605884541
336	0.360479324
337	0.3604214951
338	0.3603326293
339	0.3601766469
340	0.3601139433
341	0.3600030735
342	0.3599057892
343	0.3598498281
344	0.3597796006
345	0.3596893283
346	0.3596314129
347	0.3595692948
348	0.3594799186
349	0.3593899478
350	0.359289204
351	0.3592222274
352	0.3591121589
353	0.3590723908
354	0.3590076089
355	0.358945795
356	0.3588386502
357	0.3587519963
358	0.3586923849
359	0.358559012
360	0.358455804
361	0.3583947757
362	0.3583490635
363	0.3583040538
364	0.3581965587
365	0.3581629351
366	0.3580275548
367	0.358000124
368	0.3579499051
369	0.3578633497
370	0.3577897042
371	0.3577357234
372	0.357695212
373	0.35764307
374	0.3576132857
375	0.3575593547
376	0.3574961675
377	0.3574256323
378	0.3573820492
379	0.3573045272
380	0.357213746
381	0.3571434376
382	0.3570965855
383	0.357036852
384	0.356954686
385	0.3568970765
386	0.3568336298
387	0.3567392731
388	0.3566699103
389	0.3566125206
390	0.35656291
391	0.3565097819
392	0.3563734344
393	0.3563195811
394	0.3562186506
395	0.3561287481
396	0.3560488006
397	0.3559911866
398	0.3558738945
399	0.3558114152
400	0.3557461263
401	0.3556667762
402	0.3556298562
403	0.3555332486
404	0.3555103089
405	0.3554705559
406	0.355424179
407	0.3553253965
408	0.3552846929
409	0.355280954
410	0.3552343681
411	0.3551657378
412	0.3550669959
413	0.3550276295
414	0.3549906798
415	0.3549437742
416	0.3548963107
417	0.3548519107
418	0.3547497065
419	0.3546644494
420	0.3545646052
421	0.3544312998
422	0.3543878593
423	0.3542977792
424	0.3541810325
425	0.3541137766
426	0.3540863217
427	0.3539774964
428	0.3538988609
429	0.3538661887
430	0.3538187681
431	0.3537498233
432	0.3536841001
433	0.3535995741
434	0.3535557284
435	0.3534984196
436	0.3534278724
437	0.3533677029
438	0.3533099187
439	0.3532512658
440	0.3532266681
441	0.3531767179
442	0.3530988233
443	0.3530162524
444	0.3529391429
445	0.352903417
446	0.3528287071
447	0.3527334556
448	0.3527086599
449	0.3526630976
450	0.3525909554
451	0.3525100042
452	0.3524151774
453	0.3523712235
454	0.3523134888
455	0.3522789502
456	0.3522175877
457	0.3521675576
458	0.3521479331
459	0.3520904158
460	0.3520609033
461	0.3519815173
462	0.3519295941
463	0.3518587137
464	0.351774566
465	0.3516339616
466	0.3515424119
467	0.3514610619
468	0.3514085934
469	0.351299227
470	0.3512307814
471	0.3511969415
472	0.3511531189
473	0.3510895068
474	0.3510288635
475	0.3509744076
476	0.350904124
477	0.3508413163
478	0.3507654497
479	0.3507232144
480	0.3506743013
481	0.350587946
482	0.3505149373
483	0.3504608755
484	0.3504072336
485	0.3502922607
486	0.3502060451
487	0.3501409588
488	0.3500971494
489	0.350064935
490	0.3499754227
491	0.3499362561
492	0.3498978643
493	0.3498596553
494	0.3498138964
495	0.3497708334
496	0.3497334358
497	0.3496352782
498	0.3495359765
499	0.3495029026
